"","No","Nama Sekolah","NPSN","BP","Status","Last Sync","Jml Sync","PD","Rombel","Guru","Pegawai","R. Kelas","R. Lab","R. Perpus","sumber"
"144","7","SD NEGERI PACARKELING IX","20533167","SD","Negeri","08 Feb 2022 08:03:02",10,180,6,12,4,6,1,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"145","8","SD NEGERI PACARKELING V186","20533162","SD","Negeri","18 Mar 2022 08:18:18",16,1.589,48,63,15,28,4,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"146","9","SD NEGERI PACARKELING X-191","20533153","SD","Negeri","10 Mar 2022 09:46:56",15,139,6,8,5,6,1,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"147","10","SD NEGERI PACARKEMBANG I","20533154","SD","Negeri","22 Feb 2022 08:53:11",17,766,24,29,8,18,2,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"148","11","SD NEGERI PACARKEMBANG IV195","20533157","SD","Negeri","18 Mar 2022 11:12:55",21,330,11,13,5,11,1,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"149","12","SD NEGERI PLOSO I-172","20533287","SD","Negeri","15 Mar 2022 08:45:41",12,566,18,22,4,9,2,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"150","13","SD NEGERI PLOSO III174 SURABAYA","20533288","SD","Negeri","18 Mar 2022 09:03:22",17,300,10,13,5,15,1,2,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"151","14","SD NEGERI PLOSO V 176","20539118","SD","Negeri","08 Mar 2022 12:54:00",14,528,18,22,5,9,3,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"152","15","SD NEGERI RANGKAH 1","20533412","SD","Negeri","07 Mar 2022 15:19:45",26,988,28,33,10,19,3,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"153","16","SD NEGERI RANGKAH VI","20533406","SD","Negeri","17 Mar 2022 13:56:51",29,1.341,39,47,12,24,2,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"154","17","SD NEGERI TAMBAKSARI I 157","20532354","SD","Negeri","11 Mar 2022 11:58:36",21,594,18,21,6,24,1,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"155","18","SD NEGERI TAMBAKSARI III/159","20539125","SD","Negeri","15 Mar 2022 11:15:46",17,474,14,18,5,12,2,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"156","19","SD BAITUL AMIEN","20531949","SD","Swasta","11 Mar 2022 10:15:54",8,76,6,7,1,6,0,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"157","20","SD BUDI YAKIN","20531903","SD","Swasta","14 Feb 2022 10:45:10",7,77,6,6,1,0,0,0,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"158","21","SD DIPONEGORO","20539151","SD","Swasta","09 Mar 2022 10:10:10",9,62,6,8,2,6,2,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"159","22","SD KATOLIK SANTA THERESIA 2","20532978","SD","Swasta","04 Mar 2022 09:34:29",4,227,10,13,6,14,2,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"160","23","SD KRISTEN ANAK PANAH","69888333","SD","Swasta","11 Mar 2022 11:43:05",13,267,12,18,4,13,3,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"161","24","SD KRISTEN YBPK SURABAYA","20532983","SD","Swasta","17 Mar 2022 15:49:56",61,96,6,9,1,6,1,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"162","25","SD MANDALA","20533130","SD","Swasta","08 Mar 2022 08:36:05",18,126,6,6,1,6,3,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"163","26","SD MANDALA II","20549723","SD","Swasta","15 Mar 2022 07:48:17",11,288,12,16,5,12,2,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"164","27","SD MARDI PUTERA","20539181","SD","Swasta","10 Mar 2022 12:45:05",13,146,6,7,1,6,2,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"165","28","SD MARDI SIWI","20533134","SD","Swasta","17 Mar 2022 05:19:10",9,109,6,6,2,6,0,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"166","29","SD MUHAMMADIYAH 3","20533067","SD","Swasta","11 Mar 2022 13:59:35",32,459,18,22,9,18,2,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"167","30","SD MUTIARA KASIH","20563937","SD","Swasta","26 Feb 2022 00:38:01",10,76,6,6,2,6,2,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"168","31","SD PELITA BANGSA","20533090","SD","Swasta","10 Mar 2022 15:41:42",5,124,6,7,2,3,1,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"169","32","SD WALI IDRIS","20532817","SD","Swasta","08 Mar 2022 10:13:10",10,181,6,8,2,6,0,0,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"170","33","SD WIDYA ADI PUTERA","20532818","SD","Swasta","17 Mar 2022 14:34:09",17,110,6,7,1,6,1,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"171","34","SDK SANTA THERESIA","20532977","SD","Swasta","07 Mar 2022 15:30:52",13,269,12,20,3,14,3,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"172","35","SDK YOHANNES GABRIEL","20532995","SD","Swasta","10 Mar 2022 09:27:52",14,224,8,9,6,11,3,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"173","36","SDS ASH-SHIDDIIQII","20533047","SD","Swasta","12 Mar 2022 18:07:48",8,406,12,11,1,9,2,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"174","Total","Total","Total","Total","Total","Total",570,14.542,492,608,173,406,63,37,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"175","1","SD NEGERI PUTAT GEDE I 94","20533416","SD","Negeri","17 Mar 2022 13:38:04",21,442,15,20,6,20,0,1,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"176","2","SD NEGERI SIMOMULYO IV/101","20532323","SD","Negeri","17 Mar 2022 12:40:43",19,746,23,25,8,24,1,1,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"177","3","SD NEGERI SIMOMULYO V 102","20532318","SD","Negeri","15 Mar 2022 05:46:05",15,407,12,12,4,30,1,3,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"178","4","SD NEGERI SIMOMULYO VIII497","20532316","SD","Negeri","24 Feb 2022 10:47:49",15,504,16,20,7,11,1,1,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"179","5","SD NEGERI SONOKWIJENAN II96","20561304","SD","Negeri","17 Mar 2022 18:14:46",15,168,6,10,3,6,1,1,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"180","6","SD NEGERI SUKOMANUNGGAL I105","20532360","SD","Negeri","16 Mar 2022 13:05:56",8,284,10,14,6,11,2,1,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"181","7","SD NEGERI SUKOMANUNGGAL III107","20532358","SD","Negeri","07 Mar 2022 13:03:33",11,577,18,23,5,13,0,1,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"182","8","SD NEGERI TANJUNGSARI 97","20532284","SD","Negeri","22 Feb 2022 13:48:34",9,182,8,10,5,13,2,1,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"183","9","SDN SIMOMULYO I","20532331","SD","Negeri","10 Mar 2022 11:56:35",9,1.465,48,61,14,24,1,1,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"184","10","SD AL AHMADI","20555077","SD","Swasta","12 Mar 2022 10:25:03",18,417,16,22,3,16,1,1,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"185","11","SD AL HIKMAH","20531857","SD","Swasta","21 Feb 2022 11:47:57",5,400,15,16,2,15,1,1,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"186","12","SD ANUGRAH SURABAYA","20531943","SD","Swasta","09 Mar 2022 18:59:09",15,201,10,15,4,7,1,1,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"187","13","SD ASY-SYAFIIYAH","20531956","SD","Swasta","18 Feb 2022 08:00:58",3,245,10,13,1,11,0,2,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"188","14","SD GRACIA FEI SIANG","69961490","SD","Swasta","24 Feb 2022 12:22:48",5,75,6,5,5,6,2,1,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"189","15","SD HARAPAN","20533029","SD","Swasta","07 Mar 2022 11:45:55",4,157,6,8,2,6,0,1,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"190","16","SD KEMALA BHAYANGKARI 6","20533119","SD","Swasta","16 Mar 2022 07:58:59",19,190,6,9,3,6,2,1,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"191","17","SD KR KALAM KUDUS","20533016","SD","Swasta","16 Mar 2022 00:08:59",13,158,8,11,3,9,2,1,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"192","18","SD KRISTEN MASA DEPAN CERAH","20563536","SD","Swasta","18 Mar 2022 14:54:05",7,243,11,22,2,29,1,1,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"193","19","SD KRISTEN PETRA 10 SURABAYA","20533142","SD","Swasta","15 Mar 2022 15:28:10",9,737,22,33,6,22,2,1,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"194","20","SD MANGUNI","20533131","SD","Swasta","11 Mar 2022 20:13:42",4,142,6,9,1,6,2,1,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"195","21","SD MUHAMMADIYAH 29 FIVE DAYS SCHOOL","70000960","SD","Swasta","14 Mar 2022 12:27:01",18,87,4,5,5,4,2,1,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"196","22","SD RADEN RAHMAT","20532856","SD","Swasta","14 Mar 2022 14:13:43",9,142,6,9,3,6,1,1,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"197","23","SDI AN-NUR","20531928","SD","Swasta","08 Mar 2022 13:41:40",8,316,11,14,1,7,1,1,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"198","24","SD ELYON CHRISTIAN PRIMARY SCHOOL","20533110","SPK SD","Swasta","18 Mar 2022 13:30:47",10,458,21,31,8,23,3,1,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"199","25","SD INTAN PERMATA HATI SURABAYA","20533052","SPK SD","Swasta","24 Feb 2022 11:10:38",8,236,12,12,1,13,2,1,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"200","26","SD MERLION SCHOOL","20554619","SPK SD","Swasta","25 Aug 2021 16:02:38",0,0,0,17,3,11,2,1,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"201","Total","Total","Total","Total","Total","Total",277,8.979,326,446,111,349,34,29,"Data Sekolah Kec. Sukomanunggal - Dapodikdasmen.html"
"202","1","SD NEGERI KEPUTIH 245","20533568","SD","Negeri","10 Mar 2022 15:05:49",17,387,12,18,5,12,1,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"203","2","SD NEGERI KLAMPIS NGASEM I 246","20533594","SD","Negeri","09 Mar 2022 14:19:14",12,741,25,39,8,27,3,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"204","3","SD NEGERI KLAMPIS NGASEM II 511","20533595","SD","Negeri","11 Mar 2022 09:55:20",12,157,6,13,4,7,2,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"205","4","SD NEGERI KLAMPIS NGASEM III 512","20533563","SD","Negeri","15 Feb 2022 15:08:34",18,256,9,11,7,9,0,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"206","5","SD NEGERI KLAMPIS NGASEM V 230","20533532","SD","Negeri","08 Mar 2022 08:40:01",27,367,13,17,7,16,3,3,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"207","6","SD NEGERI MEDOKAN SEMAMPIR I","20539113","SD","Negeri","11 Mar 2022 08:55:19",17,379,12,16,3,12,2,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"208","7","SD NEGERI MENUR PUMPUNGAN","20533200","SD","Negeri","09 Mar 2022 13:09:05",20,296,11,14,8,16,1,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"209","8","SD NEGERI MENUR PUMPUNGAN IV236","20533202","SD","Negeri","18 Mar 2022 10:07:33",24,359,13,16,7,13,1,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"210","9","SD NEGERI NGINDEN JANGKUNGAN I247","20533165","SD","Negeri","18 Mar 2022 08:19:39",15,598,18,22,9,18,3,2,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"211","10","SD NEGERI SEMOLOWARU I-261","20533272","SD","Negeri","08 Mar 2022 14:53:18",12,599,18,21,11,22,2,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"212","11","SD NEGERI SEMOLOWARU IV614","20533274","SD","Negeri","24 Jan 2022 13:33:29",5,398,12,15,4,6,1,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"213","12","SD AL Amin","20531837","SD","Swasta","08 Mar 2022 10:43:00",24,142,6,13,2,6,1,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"214","13","SD AL FALAH","20532839","SD","Swasta","17 Mar 2022 22:53:21",9,120,6,8,3,10,1,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"215","14","SD AL USWAH","20532993","SD","Swasta","16 Mar 2022 15:40:51",25,568,21,29,14,21,1,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"216","15","SD BETHANY CHRISTIAN SCHOOL","69982638","SD","Swasta","20 Feb 2022 22:24:45",1,33,6,4,1,6,2,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"217","16","SD BUNGA BANGSA","20554761","SD","Swasta","18 Mar 2022 11:14:38",10,191,10,11,4,12,2,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"218","17","SD ISLAM BAITUL MUKMIN","20532840","SD","Swasta","03 Feb 2022 19:03:31",20,170,7,10,4,6,2,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"219","18","SD ISLAM RADEN PATAH","20532990","SD","Swasta","15 Mar 2022 10:21:43",11,539,21,30,9,21,2,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"220","19","SD KREATIF AN NUR","20574727","SD","Swasta","26 Feb 2022 11:19:34",9,329,14,35,10,27,2,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"221","20","SD KRISTEN ANAK BANGSA","20570827","SD","Swasta","07 Feb 2022 08:54:14",9,158,9,15,2,12,1,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"222","21","SD KRISTEN PETRA 5","20533108","SD","Swasta","22 Feb 2022 07:41:09",6,835,25,35,4,25,2,2,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"223","22","SD MABADIUL ULUM","20533138","SD","Swasta","30 Sep 2021 15:56:35",0,0,0,10,3,11,1,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"224","23","SD RADEN PAKU","20532989","SD","Swasta","18 Feb 2022 10:19:27",10,321,13,17,3,15,1,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"225","24","SD SURABAYA MONTESSORI SCHOOL","69945042","SD","Swasta","03 Feb 2022 10:21:23",6,119,7,15,1,8,2,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"226","25","SD VITA","20532815","SD","Swasta","18 Mar 2022 14:37:24",25,477,19,28,5,25,3,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"227","26","SD WACHID HASJIM 2","20532816","SD","Swasta","22 Feb 2022 08:07:07",7,269,11,16,4,9,0,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"228","27","SD YAPITA","20532803","SD","Swasta","13 Mar 2022 14:26:18",15,688,23,29,2,23,2,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"229","28","SDK SANTA MELANIA SURABAYA","20532841","SD","Swasta","16 Mar 2022 08:43:45",4,82,6,9,3,6,1,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"230","29","SDS I DARUSSALAM","69772974","SD","Swasta","22 Feb 2022 07:12:40",5,107,6,8,2,7,0,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"231","30","SDS MUHAMMADIYAH 26","20563932","SD","Swasta","22 Feb 2022 06:43:52",23,532,21,42,8,21,1,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"232","31","SDS SEKOLAH ALAM INSAN MULIA SURABAYA","20531930","SD","Swasta","09 Mar 2022 08:55:59",39,485,20,30,1,24,5,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"233","32","SD LITTLE SUN SCHOOL","20576874","SPK SD","Swasta","10 Mar 2022 07:24:19",11,409,19,46,4,19,2,1,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"234","Total","Total","Total","Total","Total","Total",448,11.111,419,642,162,472,53,36,"Data Sekolah Kec. Sukolilo - Dapodikdasmen.html"
"235","1","SD NEGERI KAPASAN III145","20533443","SD","Negeri","15 Mar 2022 06:56:51",17,505,18,21,7,20,2,1,"Data Sekolah Kec. Simokerto - Dapodikdasmen.html"
"236","2","SD NEGERI KAPASAN V147","20533433","SD","Negeri","15 Mar 2022 10:18:53",33,378,12,15,6,8,1,1,"Data Sekolah Kec. Simokerto - Dapodikdasmen.html"
"237","3","SD NEGERI SIDODADI I153","20533275","SD","Negeri","10 Mar 2022 18:31:40",18,388,12,14,5,12,1,1,"Data Sekolah Kec. Simokerto - Dapodikdasmen.html"
"238","4","SD NEGERI SIDODADI II154","20533276","SD","Negeri","10 Mar 2022 10:20:52",17,368,12,16,6,13,3,2,"Data Sekolah Kec. Simokerto - Dapodikdasmen.html"
"239","5","SD NEGERI SIMOKERTO I134","20533279","SD","Negeri","11 Mar 2022 11:32:00",14,819,27,32,9,23,3,1,"Data Sekolah Kec. Simokerto - Dapodikdasmen.html"
"240","6","SD NEGERI SIMOKERTO V138","20532326","SD","Negeri","09 Mar 2022 10:34:40",14,320,11,15,5,6,2,1,"Data Sekolah Kec. Simokerto - Dapodikdasmen.html"
"241","7","SD NEGERI SIMOKERTO VI139","20532327","SD","Negeri","09 Mar 2022 13:30:31",20,630,20,22,6,10,1,1,"Data Sekolah Kec. Simokerto - Dapodikdasmen.html"
"242","8","SD NEGERI SIMOLAWANG KIP156","20532330","SD","Negeri","07 Mar 2022 11:44:00",18,296,10,9,6,9,1,1,"Data Sekolah Kec. Simokerto - Dapodikdasmen.html"
"243","9","SD BUSTANUL HUDA","20531901","SD","Swasta","04 Mar 2022 11:03:47",7,129,6,8,2,6,1,0,"Data Sekolah Kec. Simokerto - Dapodikdasmen.html"
"244","10","SD GHUFRON FAQIH SURABAYA","20533035","SD","Swasta","11 Mar 2022 07:59:03",33,289,11,12,4,12,1,1,"Data Sekolah Kec. Simokerto - Dapodikdasmen.html"
"245","11","SD HASYIM ASY ARI","20533054","SD","Swasta","31 Jan 2022 20:22:51",3,205,6,6,2,6,1,0,"Data Sekolah Kec. Simokerto - Dapodikdasmen.html"
"246","12","SD KEMALA BHAYANGKARI 2","20533106","SD","Swasta","21 Feb 2022 10:56:41",11,48,6,7,1,6,1,1,"Data Sekolah Kec. Simokerto - Dapodikdasmen.html"
"247","13","SD KRISTEN BETHEL","20533114","SD","Swasta","11 Mar 2022 16:28:04",15,121,6,5,1,6,2,1,"Data Sekolah Kec. Simokerto - Dapodikdasmen.html"
"248","14","SD MUHAMMADIYAH 10","20533076","SD","Swasta","22 Nov 2021 22:00:56",0,0,0,19,3,17,3,1,"Data Sekolah Kec. Simokerto - Dapodikdasmen.html"
"249","15","SD MUHAMMADIYAH 17","20533081","SD","Swasta","22 Feb 2022 07:29:27",36,195,10,13,5,10,1,1,"Data Sekolah Kec. Simokerto - Dapodikdasmen.html"
"250","16","SD NURUL HUDA II","20533101","SD","Swasta","08 Feb 2022 05:48:33",4,272,11,12,1,11,3,1,"Data Sekolah Kec. Simokerto - Dapodikdasmen.html"
"251","17","SD NURUL ISLAM","20533094","SD","Swasta","27 Jan 2022 07:46:34",8,51,6,5,1,6,1,1,"Data Sekolah Kec. Simokerto - Dapodikdasmen.html"
"252","18","SD YPPI II","20532822","SD","Swasta","14 Feb 2022 13:26:50",8,92,6,8,1,8,2,1,"Data Sekolah Kec. Simokerto - Dapodikdasmen.html"
"253","Total","Total","Total","Total","Total","Total",276,5.106,190,239,71,189,30,17,"Data Sekolah Kec. Simokerto - Dapodikdasmen.html"
"254","1","SD NEGERI PEGIRIAN I47","20533175","SD","Negeri","16 Mar 2022 11:15:53",11,172,6,7,4,7,0,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"255","2","SD NEGERI PEGIRIAN II495","20533176","SD","Negeri","18 Mar 2022 10:53:00",24,330,11,12,2,5,2,2,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"256","3","SD NEGERI SIDOTOPO I48","20533269","SD","Negeri","10 Mar 2022 12:14:50",28,1.032,33,42,11,20,1,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"257","4","SD NEGERI SIDOTOPO IV51","20533261","SD","Negeri","11 Mar 2022 19:09:18",16,420,13,15,4,13,1,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"258","5","SD NEGERI UJUNG IX 34","20532271","SD","Negeri","11 Mar 2022 21:24:08",12,1.053,36,43,11,24,2,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"259","6","SD NEGERI UJUNG V30","20532272","SD","Negeri","10 Mar 2022 13:57:58",23,623,20,24,7,47,1,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"260","7","SD NEGERI UJUNG XIII38","20532278","SD","Negeri","07 Mar 2022 14:42:29",9,874,28,31,10,28,1,2,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"261","8","SD NEGERI WONOKUSUMO I 40","20532301","SD","Negeri","17 Mar 2022 11:35:09",29,1.067,33,42,8,29,1,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"262","9","SD NEGERI WONOKUSUMO IV43","20532293","SD","Negeri","02 Mar 2022 13:59:29",19,551,18,24,6,15,1,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"263","10","SD NEGERI WONOKUSUMO V 44 SURABAYA","20532295","SD","Negeri","16 Mar 2022 14:50:55",22,805,24,31,8,20,2,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"264","11","SD NEGERI WONOKUSUMO VI45","20539129","SD","Negeri","10 Mar 2022 09:48:53",23,1.25,37,44,11,18,2,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"265","12","SD AL HUDA","20531854","SD","Swasta","26 Feb 2022 12:58:09",8,127,6,7,1,6,0,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"266","13","SD AL IRSYAD","20531850","SD","Swasta","08 Mar 2022 11:36:36",5,672,27,42,5,28,2,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"267","14","SD AL ISLAMIYAH","20531957","SD","Swasta","04 Feb 2022 11:09:40",2,67,6,8,3,4,1,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"268","15","SD ALKHAIRIYAH I","20531937","SD","Swasta","10 Mar 2022 07:37:31",24,368,15,22,1,18,2,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"269","16","SD ALKHAIRIYAH II","20531936","SD","Swasta","21 Feb 2022 11:56:22",3,263,11,17,2,15,2,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"270","17","SD ATTARBIYAH","20531955","SD","Swasta","17 Mar 2022 10:03:14",11,200,11,15,2,12,4,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"271","18","SD HANG TUAH 12","20533032","SD","Swasta","29 Jan 2022 14:42:12",7,295,11,11,3,11,1,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"272","19","SD HANG TUAH 3","20533031","SD","Swasta","11 Mar 2022 11:28:25",5,314,12,18,6,12,2,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"273","20","SD IBNU HUSAIN","20533058","SD","Swasta","16 Nov 2021 08:17:33",0,0,0,8,3,6,0,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"274","21","SD ISLAM LIL WATHON","20533020","SD","Swasta","14 Mar 2022 11:09:03",18,107,6,7,1,6,1,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"275","22","SD KARYA TUNGGAL","20533002","SD","Swasta","16 Mar 2022 08:28:43",20,120,6,9,2,5,0,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"276","23","SD KHM NUR","20533127","SD","Swasta","04 Feb 2022 09:22:33",2,153,6,8,2,6,2,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"277","24","SD MUHAMMADIYAH 19","20533082","SD","Swasta","13 Mar 2022 15:54:28",16,105,6,9,2,6,2,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"278","25","SD MUHAMMADIYAH 21","20533064","SD","Swasta","14 Mar 2022 14:43:30",13,531,19,24,8,19,2,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"279","26","SD NURUL ISLAM","20533093","SD","Swasta","24 Jan 2022 15:45:09",2,71,6,6,1,3,0,0,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"280","27","SD PUTRA HARAPAN BANGSA","20532858","SD","Swasta","08 Mar 2022 10:01:55",10,388,12,16,3,12,2,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"281","28","SD WONOKUSUMO JAYA","20532821","SD","Swasta","10 Feb 2022 09:22:15",11,113,6,9,1,4,0,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"282","29","SDI COKROAMINOTO","20531897","SD","Swasta","03 Feb 2022 18:41:35",5,108,6,6,0,5,0,0,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"283","30","SDIT AR-RAYYAN","69896277","SD","Swasta","26 Jan 2022 15:49:28",5,314,12,13,1,16,2,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"284","31","SDS AL IKHLAS","20531852","SD","Swasta","01 Mar 2022 08:33:30",5,42,6,4,1,6,1,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"285","32","SDS AL-UTSMANY","69772545","SD","Swasta","26 Feb 2022 10:38:07",11,100,6,5,1,6,0,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"286","33","SDS BAHREISY","20531954","SD","Swasta","13 Mar 2022 20:25:18",9,160,6,9,2,6,0,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"287","34","SDYP NASIONAL","20532805","SD","Swasta","04 Mar 2022 10:55:50",15,106,6,7,1,7,1,1,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"288","Total","Total","Total","Total","Total","Total",423,12.901,467,595,134,445,41,34,"Data Sekolah Kec. Semampir - Dapodikdasmen.html"
"289","1","SD NEGERI BANYU URIP II","20532940","SD","Negeri","23 Feb 2022 13:02:16",15,637,20,25,7,13,0,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
