"","No","Nama Sekolah","NPSN","BP","Status","Last Sync","Jml Sync","PD","Rombel","Guru","Pegawai","R. Kelas","R. Lab","R. Perpus","sumber"
"492","91","SD IT DARUL ULUM AZIYADAH","69964384","SD","Swasta","30 Jan 2022 10:58:45",5,71,6,4,3,6,0,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"493","92","SD MITRA","20254585","SD","Swasta","07 Feb 2022 10:28:54",4,60,6,4,2,7,0,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"494","93","SD S AS-SYAHID","20230633","SD","Swasta","10 Mar 2022 12:37:05",7,26,6,5,2,6,0,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"495","94","SD S LABORATORIUM P3GSD-KKGJ","20252372","SD","Swasta","14 Mar 2022 08:16:48",9,527,19,23,4,19,1,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"496","95","SD SINAR KASIH","69984991","SD","Swasta","24 Jan 2022 10:05:43",5,67,6,9,3,6,0,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"497","96","SD TAHFIDH NURANI","69981131","SD","Swasta","15 Mar 2022 22:05:13",14,399,12,7,3,12,0,0,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"498","97","SDIT BAITUSSALAM","20230635","SD","Swasta","14 Mar 2022 07:43:42",14,340,14,22,1,17,2,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"499","98","SDIT UMAR BIN ABDUL AZIZ","69974554","SD","Swasta","12 Feb 2022 10:45:43",2,131,6,2,4,4,0,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"500","99","SDS BUKIT GLORIA","69775309","SD","Swasta","18 Mar 2022 11:14:53",11,110,6,7,2,6,1,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"501","100","SDS IT AL HASANAH","60725423","SD","Swasta","08 Mar 2022 10:00:33",9,164,6,6,2,6,1,0,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"502","101","SMP N 1 TAJURHALANG","20253775","SMP","Negeri","17 Mar 2022 10:07:34",21,1.189,30,45,11,33,3,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"503","102","SMP AL-WAFI ISLAMIC BOARDING SCHOOL","69972541","SMP","Swasta","18 Mar 2022 11:41:16",26,433,13,26,9,20,3,2,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"504","103","SMP AQILAH HIDAYAH","69982378","SMP","Swasta","14 Mar 2022 10:50:09",13,114,3,3,1,6,3,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"505","104","SMP BINADIDAKTIKA","20200622","SMP","Swasta","02 Mar 2022 10:07:46",8,231,7,10,3,9,1,0,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"506","105","SMP BUKIT GLORIA","20270766","SMP","Swasta","18 Mar 2022 10:40:27",13,49,3,6,2,7,1,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"507","106","SMP GLOBAL INSANI SCHOOL","20232195","SMP","Swasta","10 Mar 2022 08:54:15",19,365,12,19,9,18,4,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"508","107","SMP INSAN TELADAN","20271360","SMP","Swasta","15 Feb 2022 08:55:55",11,65,3,6,2,3,2,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"509","108","SMP ISLAM DAARUL ULUM SASAKPANJANG","69979808","SMP","Swasta","20 Feb 2022 22:12:30",9,110,4,5,1,3,0,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"510","109","SMP ISLAM HIDAYATUL ATHFAL","20231075","SMP","Swasta","14 Mar 2022 17:59:27",17,1.006,17,14,3,17,2,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"511","110","SMP ISLAM TERPADU BAITUSSALAM","20200559","SMP","Swasta","28 Feb 2022 10:15:40",5,107,4,4,2,4,3,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"512","111","SMP IT BUSYRO AL KARIM","20231077","SMP","Swasta","09 Mar 2022 18:15:04",11,156,6,9,2,6,2,2,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"513","112","SMP IT TARUNA INSANI","69968123","SMP","Swasta","09 Mar 2022 09:52:37",11,86,3,11,2,3,1,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"514","113","SMP PGRI RAGAMUKTI","20200694","SMP","Swasta","06 Mar 2022 07:13:32",11,97,4,4,5,4,1,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"515","114","SMP TAHFIDZ SAHABAT TELADAN","69987058","SMP","Swasta","12 Mar 2022 10:45:07",5,42,3,8,2,3,0,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"516","115","SMP TONJONG","20231159","SMP","Swasta","16 Mar 2022 15:27:11",15,489,14,23,7,17,2,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"517","116","SMP TUNAS HARAPAN","20200740","SMP","Swasta","12 Mar 2022 19:10:56",10,301,9,9,2,9,2,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"518","117","SMPIT AL-ITQON","70015676","SMP","Swasta","-",0,0,0,7,3,0,0,0,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"519","118","SMPS KUSUMA BANGSA TAJURHALANG","20231084","SMP","Swasta","15 Mar 2022 20:46:59",17,355,9,16,2,10,2,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"520","119","SMPS MENTARI BANGSA","69762673","SMP","Swasta","28 Dec 2021 11:23:45",0,0,0,1,0,3,0,0,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"521","120","SMPS MITRA","20271862","SMP","Swasta","17 Jan 2022 12:16:02",2,47,3,4,1,3,0,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"522","121","SMPS SULTHAN","20271208","SMP","Swasta","04 Mar 2022 08:54:50",34,289,10,17,3,10,2,0,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"523","122","SMAN 1 TAJURHALANG","20232371","SMA","Negeri","08 Mar 2022 11:10:15",35,1.212,35,51,13,32,5,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"524","123","SMA AL WAFI IBS","69992187","SMA","Swasta","18 Mar 2022 08:20:03",51,280,11,11,6,14,5,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"525","124","SMAS BAITUSSALAM","20200690","SMA","Swasta","21 Feb 2022 09:12:50",20,149,6,7,3,6,2,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"526","125","SMK BUKIT GLORIA","69878508","SMK","Swasta","17 Jan 2022 13:52:24",4,15,3,3,1,3,0,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"527","126","SMK GUNADARMA JAYA","69864654","SMK","Swasta","14 Mar 2022 21:02:27",14,137,4,11,2,3,1,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"528","127","SMK IZZATUL ISLAM","69888844","SMK","Swasta","11 Feb 2022 15:24:54",6,58,3,6,4,3,1,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"529","128","SMK MUTIARA BANGSA","69882415","SMK","Swasta","02 Mar 2022 11:25:27",14,262,9,15,6,5,0,0,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"530","129","SMKS ARRAHMANIYAH","20258348","SMK","Swasta","17 Mar 2022 12:51:18",38,327,11,3,1,11,1,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"531","130","SMKS ATTAJIR","20271211","SMK","Swasta","15 Mar 2022 11:10:41",27,173,8,8,1,7,1,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"532","131","SMKS CYBER MEDIA UTAMA","20253579","SMK","Swasta","24 Feb 2022 09:53:17",10,55,3,7,3,9,1,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"533","132","SMKS GARUDA BANGSA","20267731","SMK","Swasta","11 Mar 2022 17:47:48",16,126,6,5,2,10,1,0,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"534","133","SMKS LABORATORIUM INDONESIA","20253855","SMK","Swasta","17 Mar 2022 11:04:20",15,926,24,22,3,24,2,0,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"535","134","SMKS SARADAN","20271209","SMK","Swasta","25 Feb 2022 14:37:41",12,599,22,16,1,24,3,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"536","135","SMKS SATRIA BANGSA","20232485","SMK","Swasta","17 Mar 2022 08:07:08",23,239,8,9,3,9,1,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"537","136","SMKS SYADAM BOJONGGEDE","20271038","SMK","Swasta","29 Jan 2022 12:43:33",11,139,7,10,3,6,2,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"538","137","SMKS TONJONG","20272047","SMK","Swasta","07 Mar 2022 10:56:47",8,268,8,11,4,11,2,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"539","138","PKBM ANAK PANAH","P9970540","PKBM","Swasta","16 Mar 2022 16:03:50",73,678,6,16,6,6,1,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"540","139","PKBM MENTARI","P2960609","PKBM","Swasta","16 Feb 2022 09:49:25",34,423,2,1,0,3,0,1,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"541","140","PKBM Suara Hati","P2960745","PKBM","Swasta","10 Feb 2022 10:11:16",4,273,5,4,1,3,0,0,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"542","Total","Total","Total","Total","Total","Total",1.258,23.842,816,970,280,814,72,74,"Data Peserta Didik Kec. Tajurhalang - Dapodikdasmen.html"
"543","1","TK AL-FAUZIYAH","69868470","TK","Swasta","16 Mar 2022 14:53:23",10,48,2,2,1,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"544","2","TK AR RIDWAN","20256653","TK","Swasta","18 Feb 2022 07:50:34",3,27,3,3,1,3,0,1,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"545","3","TK BINTANG","69868471","TK","Swasta","09 Mar 2022 07:00:45",4,17,2,2,2,3,0,1,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"546","4","TK CERDAS BANGSA","69868466","TK","Swasta","28 Jan 2022 12:26:09",5,24,2,2,1,2,0,1,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"547","5","TK CIKAL CAHAYA","69966700","TK","Swasta","05 Mar 2022 14:54:25",7,67,8,8,1,9,0,1,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"548","6","TK DARUR RAHMAH","20256649","TK","Swasta","07 Mar 2022 14:20:36",4,63,5,4,1,5,0,1,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"549","7","TK ESTETIKA","20256656","TK","Swasta","16 Mar 2022 11:07:44",3,19,2,3,1,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"550","8","TK HANIFAH","69868467","TK","Swasta","08 Mar 2022 13:25:41",13,47,3,4,1,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"551","9","TK ISLAM AL FATIH","70023563","TK","Swasta","16 Feb 2022 20:24:47",27,45,2,1,1,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"552","10","TK ISLAM AL NURDAHLAN","69868469","TK","Swasta","30 Jan 2022 11:15:16",5,26,2,2,0,4,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"553","11","TK ISLAM EDELWEIS","69868472","TK","Swasta","11 Mar 2022 01:25:49",6,17,2,3,1,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"554","12","TK ISLAM MUTIARA CILEBUT","69868473","TK","Swasta","29 Jan 2022 19:28:01",3,48,6,7,2,6,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"555","13","TK IT BINA KAWANKU","20256671","TK","Swasta","06 Mar 2022 17:21:04",3,40,4,4,1,4,0,1,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"556","14","TK KARTIKA IX-16","20256645","TK","Swasta","10 Mar 2022 08:54:17",5,41,3,3,2,3,0,1,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"557","15","TK KARTIKA IX-2","69868468","TK","Swasta","11 Mar 2022 01:48:17",10,32,3,2,1,3,0,1,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"558","16","TK KARTIKA IX-26","20256670","TK","Swasta","03 Mar 2022 22:46:44",4,52,4,3,1,4,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"559","17","TK MARDI YUANA","20256650","TK","Swasta","08 Feb 2022 23:43:21",2,49,5,4,1,5,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"560","18","TK MUTIARA HATI","20256659","TK","Swasta","14 Jan 2022 09:35:43",4,18,2,2,1,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"561","19","TK NAHJUSSALAAM","69868462","TK","Swasta","04 Mar 2022 22:35:03",3,46,3,2,2,4,0,1,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"562","20","TK PERSADA SUKARAJA CILUAR","20256657","TK","Swasta","04 Aug 2021 17:47:04",0,0,0,2,1,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"563","21","TK PURNA GARINI","69868465","TK","Swasta","05 Mar 2022 21:10:36",5,11,1,1,1,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"564","22","TK PURNAMA","69914976","TK","Swasta","04 Mar 2022 21:52:06",2,10,1,2,1,3,0,1,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"565","23","TK TRI KENCANA","20256673","TK","Swasta","17 Mar 2022 11:12:12",4,10,2,1,1,1,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"566","24","TK. Alamanda","69868464","TK","Swasta","11 Feb 2022 07:48:44",7,18,2,2,1,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"567","25","TK. NUR KURNIA","69868463","TK","Swasta","04 Mar 2022 02:52:38",6,21,3,3,1,4,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"568","26","DA I","69869059","KB","Swasta","13 Feb 2022 17:50:32",3,30,3,3,3,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"569","27","KB AKHSANI","69869065","KB","Swasta","30 Sep 2021 23:38:05",0,0,0,2,1,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"570","28","KB AL HUDA","69968552","KB","Swasta","12 Aug 2021 14:09:23",0,0,0,4,1,2,0,1,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"571","29","KB AS SYIFA","69988906","KB","Swasta","25 Feb 2022 08:29:30",4,21,2,2,0,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"572","30","KB ASSALAMIYYAH","69869061","KB","Swasta","-",0,0,0,0,0,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"573","31","KB BOUGENVILLE","69971028","KB","Swasta","21 Sep 2021 21:13:28",0,0,0,2,1,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"574","32","KB CINTA AL-MAJID","69869063","KB","Swasta","16 Mar 2022 01:13:56",7,34,2,3,1,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"575","33","KB HAPPY KIDS INDONESIA","69869064","KB","Swasta","17 Feb 2022 21:42:53",5,25,2,3,2,4,0,1,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"576","34","KB IBNUL MUSTHOPA","69968161","KB","Swasta","09 Feb 2022 10:45:33",2,46,4,3,1,4,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"577","35","KB INSAN CENDEKIA","69869052","KB","Swasta","-",0,0,0,0,0,5,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"578","36","KB IT PUTRA PAKUAN","70023707","KB","Swasta","-",0,0,0,0,0,0,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"579","37","KB JERUK","69869062","KB","Swasta","-",0,0,0,0,0,1,0,1,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"580","38","KB KELAPA GADING","69982194","KB","Swasta","27 Aug 2021 18:28:26",0,0,0,2,1,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"581","39","KB MATHLAUL HASANAH","70015834","KB","Swasta","-",0,0,0,4,2,0,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"582","40","KB Melati","69869057","KB","Swasta","07 Feb 2022 16:08:21",2,4,2,1,1,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"583","41","KB MELATI BERSAMA","69976939","KB","Swasta","-",0,0,0,0,0,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"584","42","KB MUTIARA BUNDA","69971442","KB","Swasta","-",0,0,0,0,0,0,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"585","43","KB MUTIARA QALBU","69869051","KB","Swasta","-",0,0,0,0,0,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"586","44","KB PAUD DARUSSALAM","69869048","KB","Swasta","09 Mar 2022 13:14:13",3,35,3,3,0,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"587","45","KB PELITA ILMU","69869044","KB","Swasta","27 Jan 2022 14:00:04",9,57,3,3,0,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"588","46","KB PLUS AL HASANIYAH","69975900","KB","Swasta","13 Feb 2022 22:08:16",4,54,2,2,1,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"589","47","KB RAUDHOTUS SHIBYAN","69975899","KB","Swasta","11 Mar 2022 22:52:24",4,29,3,3,1,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"590","48","KB RUMAH PINTAR","70014793","KB","Swasta","-",0,0,0,6,1,0,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"591","49","KB TAAM AL MUKARROMAH","69869054","KB","Swasta","27 Jan 2022 14:22:14",2,60,3,4,0,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"592","50","KB TUNAS MUDA","69869047","KB","Swasta","15 Feb 2022 13:04:47",5,20,3,1,1,4,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"593","51","KB WIRADHIKA","70004969","KB","Swasta","23 Jan 2022 07:27:43",4,23,2,2,1,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"594","52","KB. NURUL HIDAYAH","69869056","KB","Swasta","04 Mar 2022 10:26:41",5,23,3,2,3,9,0,1,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"595","53","NUURUL HUDAA","69869045","KB","Swasta","-",0,0,0,0,0,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"596","54","PAUD AL-FATH","69957321","KB","Swasta","24 Feb 2022 18:30:02",4,28,2,5,1,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"597","55","PAUD AL-HIKMAH","69922052","KB","Swasta","09 Mar 2022 13:33:46",4,31,2,2,1,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"598","56","PAUD AN-NUR","69923287","KB","Swasta","12 Mar 2022 06:36:36",7,20,2,2,0,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"599","57","PAUD AN-NURIKA","69922087","KB","Swasta","28 Feb 2022 06:32:48",6,34,4,4,3,6,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"600","58","PAUD AS-SALAM","69869058","KB","Swasta","08 Feb 2022 12:06:01",2,22,2,4,2,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"601","59","PAUD AT-TAUHID","69923288","KB","Swasta","25 Feb 2022 07:29:25",5,49,2,3,1,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"602","60","PAUD CAKRA BUANA","69924401","KB","Swasta","02 Mar 2022 06:26:20",1,32,2,1,0,1,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"603","61","PAUD DAHLIA","69929876","KB","Swasta","20 Jan 2022 17:44:58",4,21,2,6,1,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"604","62","PAUD DARUR RAHMAH","69940641","KB","Swasta","-",0,0,0,0,0,1,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"605","63","PAUD HASANAH","69923290","KB","Swasta","19 Feb 2022 09:21:37",2,15,2,5,1,2,0,1,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"606","64","PAUD INOVATIF","69922150","KB","Swasta","20 Jan 2022 16:13:34",2,22,2,1,3,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"607","65","PAUD KENANGA","69923295","KB","Swasta","-",0,0,0,0,0,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"608","66","PAUD KUTILANG","69924974","KB","Swasta","17 Jan 2022 00:41:46",5,25,2,3,1,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"609","67","PAUD LESTARI","69923294","KB","Swasta","13 Feb 2022 22:11:28",6,40,3,3,1,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"610","68","PAUD MEKARWANGI","69922500","KB","Swasta","01 Mar 2022 18:51:13",4,21,3,3,1,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"611","69","PAUD PERMATA","69922900","KB","Swasta","24 Feb 2022 19:53:38",4,13,2,1,2,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"612","70","PAUD PRU SERUNI","69950480","KB","Swasta","01 Oct 2021 06:43:29",0,0,0,5,1,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"613","71","PAUD TUNAS HARAPAN","69946467","KB","Swasta","11 Mar 2022 15:44:50",5,29,2,4,1,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"614","72","PAUD VIKANA","69869046","KB","Swasta","24 Feb 2022 18:27:37",7,36,2,3,2,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"615","73","PAUD YAS","69942227","KB","Swasta","27 Jan 2022 15:53:57",2,35,4,4,0,1,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"616","74","POS PAUD INSAN MADANI","69869050","KB","Swasta","11 Mar 2022 17:24:31",6,37,4,5,1,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"617","75","TUNAS MULIA CBP 2","69869060","KB","Swasta","01 Feb 2022 20:08:31",2,17,3,2,2,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"618","76","TPA RUMAH BUNDA DAYCARE","69985489","TPA","Swasta","-",0,0,0,0,0,0,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"619","77","KB MAWAR","69869899","SPS","Swasta","15 Jan 2022 13:34:30",2,18,2,2,1,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"620","78","KB PELANGI","69869911","SPS","Swasta","15 Jan 2022 13:56:11",3,18,2,1,2,1,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"621","79","PAUD ANGGREK I","69922085","SPS","Swasta","26 Feb 2022 13:12:28",6,45,3,4,1,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"622","80","PAUD BINA MANDIRI","69869913","SPS","Swasta","-",0,0,0,0,0,2,0,1,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"623","81","PAUD CEMPAKA","69869915","SPS","Swasta","-",0,0,0,0,0,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"624","82","PAUD DUKUH","69922185","SPS","Swasta","11 Mar 2022 13:53:40",8,33,2,5,1,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"625","83","PAUD DUKUH","69869916","SPS","Swasta","14 Feb 2022 12:37:52",4,13,2,5,2,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"626","84","PAUD NUSANTARA","69869904","SPS","Swasta","15 Mar 2022 08:27:50",11,37,3,5,1,3,0,1,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"627","85","PAUD P2B","69869903","SPS","Swasta","01 Mar 2022 19:33:23",4,91,4,4,2,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"628","86","PAUD PERTIWI","69869914","SPS","Swasta","28 Feb 2022 12:31:48",4,50,5,4,4,5,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"629","87","PAUD TAAM AL-FATHIR","69922047","SPS","Swasta","08 Jan 2022 01:32:19",2,37,3,3,2,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"630","88","PAUD TAAM BABUSSALAM","69922191","SPS","Swasta","24 Aug 2021 10:31:47",0,0,0,5,3,5,0,1,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"631","89","PAUD TAAM RAADHIYATAN MARDHIYYAH","69869918","SPS","Swasta","08 Feb 2022 10:48:05",4,15,2,1,3,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"632","90","POS PAUD AL- MUSTARIYAH","69869906","SPS","Swasta","25 Feb 2022 06:12:37",9,63,3,3,1,4,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"633","91","POS PAUD BINA INSAN","69869905","SPS","Swasta","-",0,0,0,0,0,1,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"634","92","POS PAUD DELIMA","69869917","SPS","Swasta","17 Jan 2022 00:46:07",5,35,2,5,0,4,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"635","93","POS PAUD MADINATUL ATHFAAL","69869908","SPS","Swasta","12 Mar 2022 21:16:18",7,45,3,3,2,3,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"636","94","POS PAUD MIFTAHUL HUDA","69869910","SPS","Swasta","10 Jan 2022 12:57:00",1,20,2,3,2,2,0,0,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
"637","95","POS PAUD SAKURA","69869909","SPS","Swasta","-",0,0,0,0,0,2,0,1,"Data Peserta Didik Kec. Sukaraja - Dapodikdasmen.html"
